iter	Passed	Remaining
466	15909	18158
467	15945	18125
468	15977	18089
469	16008	18052
470	16041	18016
471	16075	17982
472	16110	17949
473	16147	17918
474	16183	17886
475	16214	17849
476	16248	17815
477	16282	17780
478	16308	17738
479	16344	17706
480	16378	17671
481	16410	17636
482	16442	17599
483	16474	17563
484	16509	17530
485	16547	17501
486	16584	17469
487	16615	17432
488	16645	17394
489	16674	17355
490	16710	17323
491	16744	17288
492	16777	17254
493	16808	17216
494	16834	17175
495	16864	17136
496	16901	17105
497	16937	17073
498	16973	17041
499	17011	17011
500	17046	16978
501	17078	16942
502	17111	16907
503	17153	16881
504	17190	16850
505	17225	16817
506	17260	16783
507	17291	16746
508	17321	16709
509	17354	16673
510	17389	16640
511	17425	16608
512	17457	16572
513	17488	16535
514	17513	16493
515	17545	16457
516	17581	16424
517	17617	16393
518	17653	16360
519	17683	16323
520	17711	16283
521	17743	16248
522	17780	16216
523	17820	16187
524	17858	16157
525	17891	16122
526	17925	16088
527	17962	16057
528	18001	16027
529	18037	15995
530	18075	15965
531	18108	15930
532	18140	15893
533	18174	15860
534	18210	15828
535	18249	15797
536	18284	15764
537	18324	15735
538	18356	15700
539	18387	15663
540	18425	15632
541	18458	15598
542	18494	15564
543	18528	15530
544	18559	15494
545	18586	15454
546	18619	15419
547	18655	15387
548	18690	15353
549	18741	15333
550	18802	15321
551	18836	15287
552	18868	15251
553	18899	15214
554	18933	15180
555	18970	15149
556	19007	15117
557	19044	15085
558	19081	15053
559	19116	15019
560	19152	14987
561	19188	14954
562	19224	14921
563	19260	14889
564	19308	14865
565	19359	14844
566	19394	14810
567	19427	14776
568	19463	14743
569	19503	14712
570	19536	14678
571	19572	14645
572	19607	14611
573	19640	14576
574	19676	14543
575	19717	14514
576	19753	14480
577	19789	14448
578	19819	14411
579	19853	14376
580	19888	14342
581	19921	14308
582	19958	14275
583	19996	14243
584	20032	14210
585	20066	14176
586	20098	14140
587	20133	14107
588	20170	14075
589	20205	14041
590	20236	14004
591	20265	13966
592	20299	13932
593	20332	13897
594	20367	13863
595	20402	13829
596	20433	13793
597	20463	13756
598	20496	13721
599	20535	13690
600	20567	13654
601	20601	13620
602	20636	13586
603	20673	13554
604	20703	13516
605	20730	13478
606	20767	13445
607	20802	13412
608	20841	13381
609	20879	13349
610	20912	13314
611	20945	13279
612	20985	13248
613	21023	13216
614	21061	13184
615	21095	13150
616	21129	13115
617	21160	13079
618	21194	13045
619	21231	13012
620	21272	12982
621	21308	12949
622	21343	12915
623	21372	12878
624	21403	12842
625	21438	12808
626	21477	12776
627	21512	12743
628	21550	12710
629	21582	12675
630	21613	12639
631	21648	12605
632	21684	12572
633	21720	12538
634	21754	12504
635	21787	12469
636	21822	12436
637	21861	12403
638	21897	12370
639	21930	12336
640	21968	12303
641	21999	12267
642	22037	12235
643	22072	12201
644	22105	12166
645	22140	12132
646	22173	12097
647	22204	12061
648	22233	12024
649	22267	11990
650	22303	11956
651	22338	11922
652	22370	11887
653	22409	11855
654	22440	11819
655	22469	11782
656	22504	11748
657	22541	11716
658	22578	11683
659	22614	11649
660	22644	11613
661	22671	11575
662	22707	11541
663	22743	11508
664	22777	11474
665	22812	11440
666	22849	11407
667	22876	11369
668	22913	11336
669	22947	11302
670	22985	11270
671	23022	11237
672	23056	11202
673	23094	11170
674	23133	11138
675	23166	11103
676	23198	11068
677	23235	11035
678	23265	10998
679	23293	10961
680	23329	10928
681	23363	10893
682	23395	10858
683	23425	10822
684	23458	10787
685	23491	10752
686	23522	10717
687	23553	10681
688	23589	10647
689	23622	10612
690	23655	10578
691	23692	10545
692	23723	10509
693	23750	10472
694	23781	10436
695	23816	10402
696	23852	10369
697	23890	10336
698	23928	10304
699	23965	10270
700	24000	10236
701	24033	10202
702	24066	10167
703	24103	10134
704	24139	10101
705	24176	10067
706	24214	10035
707	24247	10000
708	24284	9967
709	24318	9932
710	24351	9898
711	24386	9864
712	24416	9828
713	24449	9793
714	24483	9759
715	24520	9725
716	24554	9691
717	24593	9659
718	24627	9624
719	24661	9590
720	24696	9556
721	24726	9520
722	24761	9486
723	24798	9453
724	24833	9419
725	24870	9386
726	24906	9352
727	24942	9319
728	24979	9286
729	25010	9250
730	25044	9215
731	25079	9182
732	25114	9148
733	25152	9115
734	25191	9082
735	25227	9048
736	25262	9014
737	25293	8979
738	25331	8946
739	25366	8912
740	25401	8878
741	25433	8843
742	25463	8807
743	25499	8774
744	25533	8739
745	25568	8705
746	25606	8672
747	25638	8637
748	25667	8601
749	25703	8567
750	25736	8533
751	25770	8498
752	25803	8464
753	25839	8430
754	25873	8395
755	25906	8361
756	25939	8326
757	25972	8291
758	26003	8256
759	26039	8222
760	26074	8188
761	26108	8154
762	26139	8119
763	26172	8084
764	26203	8049
765	26238	8015
766	26270	7980
767	26304	7946
768	26371	7921
769	26403	7886
770	26436	7852
771	26487	7822
772	26525	7789
773	26555	7754
774	26590	7719
775	26625	7685
776	26654	7649
777	26689	7615
778	26729	7583
779	26764	7548
780	26798	7514
781	26833	7480
782	26863	7444
783	26897	7410
784	26930	7375
785	26966	7342
786	27002	7308
787	27037	7274
788	27072	7239
789	27108	7206
790	27141	7171
791	27178	7137
792	27209	7102
793	27241	7067
794	27274	7033
795	27312	6999
796	27345	6965
797	27382	6931
798	27421	6898
799	27459	6864
800	27493	6830
801	27521	6794
802	27553	6759
803	27588	6725
804	27624	6691
805	27656	6656
806	27689	6622
807	27722	6587
808	27749	6551
809	27782	6516
810	27816	6482
811	27849	6447
812	27890	6415
813	27925	6380
814	27957	6346
815	27989	6311
816	28024	6277
817	28062	6243
818	28099	6209
819	28134	6175
820	28174	6142
821	28209	6108
822	28241	6073
823	28275	6039
824	28310	6005
825	28346	5971
826	28379	5936
827	28411	5901
828	28445	5867
829	28478	5832
830	28512	5798
831	28547	5764
832	28584	5730
833	28615	5695
834	28652	5661
835	28687	5627
836	28719	5593
837	28754	5558
838	28784	5523
839	28814	5488
840	28847	5453
841	28879	5419
842	28913	5384
843	28949	5350
844	28983	5316
845	29016	5281
846	29044	5246
847	29084	5213
848	29118	5178
849	29157	5145
850	29193	5111
851	29229	5077
852	29263	5042
853	29297	5008
854	29334	4974
855	29369	4940
856	29403	4906
857	29437	4871
858	29467	4836
859	29501	4802
860	29537	4768
861	29572	4734
862	29608	4700
863	29643	4666
864	29678	4631
865	29709	4597
866	29744	4562
867	29798	4531
868	29837	4498
869	29871	4463
870	29909	4429
871	29947	4395
872	29981	4361
873	30015	4327
874	30049	4292
875	30084	4258
876	30115	4223
877	30149	4189
878	30182	4154
879	30216	4120
880	30250	4086
881	30282	4051
882	30322	4017
883	30357	3983
884	30394	3949
885	30429	3915
886	30465	3881
887	30500	3846
888	30534	3812
889	30568	3778
890	30603	3743
891	30636	3709
892	30677	3675
893	30703	3640
894	30735	3605
895	30766	3571
896	30801	3536
897	30833	3502
898	30869	3468
899	30900	3433
900	30936	3399
901	30972	3365
902	31009	3331
903	31043	3296
904	31079	3262
905	31112	3227
906	31148	3193
907	31185	3159
908	31221	3125
909	31255	3091
910	31289	3056
911	31326	3022
912	31358	2988
913	31392	2953
914	31425	2919
915	31462	2885
916	31495	2850
917	31531	2816
918	31563	2781
919	31595	2747
920	31631	2713
921	31669	2679
922	31703	2644
923	31737	2610
924	31772	2576
925	31806	2541
926	31841	2507
927	31876	2473
928	31913	2439
929	31952	2404
930	31989	2370
931	32023	2336
932	32080	2303
933	32115	2269
934	32151	2235
935	32185	2200
936	32222	2166
937	32253	2131
938	32286	2097
939	32319	2062
940	32354	2028
941	32388	1994
942	32429	1960
943	32472	1926
944	32505	1891
945	32540	1857
946	32574	1823
947	32606	1788
948	32641	1754
949	32674	1719
950	32709	1685
951	32744	1650
952	32778	1616
953	32812	1582
954	32855	1548
955	32890	1513
956	32927	1479
957	32961	1445
958	32996	1410
959	33034	1376
960	33070	1342
961	33105	1307
962	33143	1273
963	33179	1239
964	33215	1204
965	33253	1170
966	33296	1136
967	33336	1102
968	33376	1067
969	33414	1033
970	33449	998
971	33484	964
972	33523	930
973	33554	895
974	33590	861
975	33628	826
976	33667	792
977	33703	758
978	33737	723
979	33773	689
980	33810	654
981	33844	620
982	33877	585
983	33920	551
984	33956	517
985	33990	482
986	34022	448
987	34057	413
988	34090	379
989	34127	344
990	34164	310
991	34197	275
992	34229	241
993	34262	206
994	34298	172
995	34333	137
996	34369	103
997	34401	68
998	34431	34
999	34464	0
